rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.076.564 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.077.041 W srv  llama_server: -----------------
0.00.077.044 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.077.044 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.077.045 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.077.045 W srv  llama_server: -----------------
0.00.078.313 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-Q4_0.gguf'
0.02.003.200 I cmn          init: llama threadpool init, n_threads = 4
0.02.064.502 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.02.064.554 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.02.064.556 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.02.070.436 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.02.070.475 I srv  llama_server: model loaded
0.02.070.481 I srv  llama_server: listening on http://127.0.0.1:18521
0.11.334.850 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.14.974.579 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.62 s / 706.93 tokens per second
0.14.974.602 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2688, progress = 0.33, t =   3.64 s / 738.54 tokens per second
0.15.161.530 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2688, progress = 0.33, t =   3.81 s / 705.83 tokens per second
0.15.161.575 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2688, progress = 0.33, t =   3.81 s / 705.83 tokens per second
0.15.161.609 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2816, progress = 0.34, t =   3.83 s / 735.90 tokens per second
0.15.351.226 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.00 s / 704.35 tokens per second
0.15.351.276 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.00 s / 704.36 tokens per second
0.15.351.314 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.02 s / 733.02 tokens per second
0.15.539.501 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.19 s / 703.25 tokens per second
0.15.539.546 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.19 s / 703.25 tokens per second
0.15.539.579 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.20 s / 730.64 tokens per second
0.15.729.567 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.38 s / 701.96 tokens per second
0.15.729.617 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.38 s / 701.96 tokens per second
0.15.729.654 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3200, progress = 0.39, t =   4.39 s / 728.16 tokens per second
0.15.919.849 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3200, progress = 0.39, t =   4.57 s / 700.74 tokens per second
0.15.919.894 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3200, progress = 0.39, t =   4.57 s / 700.74 tokens per second
0.15.919.928 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3328, progress = 0.41, t =   4.58 s / 725.86 tokens per second
0.16.111.931 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3328, progress = 0.41, t =   4.76 s / 699.35 tokens per second
0.16.111.998 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3328, progress = 0.41, t =   4.76 s / 699.35 tokens per second
0.16.112.036 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3456, progress = 0.42, t =   4.78 s / 723.47 tokens per second
0.16.304.498 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3456, progress = 0.42, t =   4.95 s / 698.00 tokens per second
0.16.304.542 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3456, progress = 0.42, t =   4.95 s / 698.01 tokens per second
0.16.304.576 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3584, progress = 0.44, t =   4.97 s / 721.19 tokens per second
0.16.498.028 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.14 s / 696.63 tokens per second
0.16.498.095 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.14 s / 696.63 tokens per second
0.16.498.153 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.16 s / 718.95 tokens per second
0.16.692.240 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.34 s / 695.26 tokens per second
0.16.692.285 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.34 s / 695.26 tokens per second
0.16.692.320 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3840, progress = 0.47, t =   5.36 s / 716.78 tokens per second
0.16.887.580 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3840, progress = 0.47, t =   5.53 s / 693.85 tokens per second
0.16.887.630 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3840, progress = 0.47, t =   5.53 s / 693.85 tokens per second
0.16.887.667 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3968, progress = 0.48, t =   5.55 s / 714.62 tokens per second
0.17.083.570 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3968, progress = 0.48, t =   5.73 s / 692.45 tokens per second
0.17.083.618 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3968, progress = 0.48, t =   5.73 s / 692.46 tokens per second
0.17.083.660 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4096, progress = 0.50, t =   5.75 s / 712.52 tokens per second
0.17.280.921 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4096, progress = 0.50, t =   5.93 s / 691.00 tokens per second
0.17.280.967 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4096, progress = 0.50, t =   5.93 s / 691.00 tokens per second
0.17.281.014 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4224, progress = 0.52, t =   5.95 s / 710.40 tokens per second
0.17.478.531 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.13 s / 689.60 tokens per second
0.17.478.578 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.13 s / 689.60 tokens per second
0.17.478.609 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.14 s / 708.38 tokens per second
0.17.676.329 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.32 s / 688.27 tokens per second
0.17.676.358 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.32 s / 688.27 tokens per second
0.17.676.378 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4480, progress = 0.55, t =   6.34 s / 706.47 tokens per second
0.17.876.670 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4480, progress = 0.55, t =   6.52 s / 686.75 tokens per second
0.17.876.714 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4480, progress = 0.55, t =   6.52 s / 686.76 tokens per second
0.17.876.747 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4608, progress = 0.56, t =   6.54 s / 704.40 tokens per second
0.18.076.995 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4608, progress = 0.56, t =   6.72 s / 685.33 tokens per second
0.18.077.039 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4608, progress = 0.56, t =   6.72 s / 685.33 tokens per second
0.18.077.075 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4736, progress = 0.58, t =   6.74 s / 702.46 tokens per second
0.18.278.249 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4736, progress = 0.58, t =   6.93 s / 683.90 tokens per second
0.18.278.310 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4736, progress = 0.58, t =   6.92 s / 683.90 tokens per second
0.18.278.357 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4864, progress = 0.59, t =   6.94 s / 700.53 tokens per second
0.18.478.642 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.13 s / 682.63 tokens per second
0.18.478.670 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.13 s / 682.63 tokens per second
0.18.478.690 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4992, progress = 0.61, t =   7.14 s / 698.80 tokens per second
0.18.684.782 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4992, progress = 0.61, t =   7.33 s / 680.89 tokens per second
0.18.684.861 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4992, progress = 0.61, t =   7.33 s / 680.90 tokens per second
0.18.684.927 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5120, progress = 0.62, t =   7.35 s / 696.62 tokens per second
0.18.888.526 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5120, progress = 0.62, t =   7.54 s / 679.47 tokens per second
0.18.888.571 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5120, progress = 0.62, t =   7.54 s / 679.47 tokens per second
0.18.888.604 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5248, progress = 0.64, t =   7.55 s / 694.77 tokens per second
0.19.091.660 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5248, progress = 0.64, t =   7.74 s / 678.17 tokens per second
0.19.091.691 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5248, progress = 0.64, t =   7.74 s / 678.18 tokens per second
0.19.091.716 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5376, progress = 0.66, t =   7.76 s / 693.08 tokens per second
0.19.298.526 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5376, progress = 0.66, t =   7.95 s / 676.63 tokens per second
0.19.298.570 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5376, progress = 0.66, t =   7.95 s / 676.63 tokens per second
0.19.298.604 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5504, progress = 0.67, t =   7.96 s / 691.15 tokens per second
0.19.504.835 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5504, progress = 0.67, t =   8.15 s / 675.20 tokens per second
0.19.504.894 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5504, progress = 0.67, t =   8.15 s / 675.21 tokens per second
0.19.504.942 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5632, progress = 0.69, t =   8.17 s / 689.36 tokens per second
0.19.712.336 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5632, progress = 0.69, t =   8.36 s / 673.76 tokens per second
0.19.712.396 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5632, progress = 0.69, t =   8.36 s / 673.76 tokens per second
0.19.712.443 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5760, progress = 0.70, t =   8.38 s / 687.57 tokens per second
0.19.920.492 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5760, progress = 0.70, t =   8.57 s / 672.33 tokens per second
0.19.920.555 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5760, progress = 0.70, t =   8.57 s / 672.33 tokens per second
0.19.920.606 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5888, progress = 0.72, t =   8.59 s / 685.80 tokens per second
0.20.129.944 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5888, progress = 0.72, t =   8.78 s / 670.87 tokens per second
0.20.130.025 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   5888, progress = 0.72, t =   8.78 s / 670.87 tokens per second
0.20.130.148 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6016, progress = 0.73, t =   8.79 s / 684.03 tokens per second
0.20.339.852 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6016, progress = 0.73, t =   8.99 s / 669.44 tokens per second
0.20.339.897 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6016, progress = 0.73, t =   8.99 s / 669.44 tokens per second
0.20.339.931 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6144, progress = 0.75, t =   9.00 s / 682.29 tokens per second
0.20.551.393 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6144, progress = 0.75, t =   9.20 s / 667.96 tokens per second
0.20.551.441 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6144, progress = 0.75, t =   9.20 s / 667.96 tokens per second
0.20.551.479 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6272, progress = 0.77, t =   9.22 s / 680.52 tokens per second
0.20.763.141 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6272, progress = 0.77, t =   9.41 s / 666.53 tokens per second
0.20.763.175 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6272, progress = 0.77, t =   9.41 s / 666.53 tokens per second
0.20.763.197 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6400, progress = 0.78, t =   9.43 s / 678.82 tokens per second
0.20.977.537 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6400, progress = 0.78, t =   9.62 s / 664.98 tokens per second
0.20.977.576 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6400, progress = 0.78, t =   9.62 s / 664.98 tokens per second
0.20.977.602 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6528, progress = 0.80, t =   9.64 s / 677.00 tokens per second
0.21.190.828 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6528, progress = 0.80, t =   9.84 s / 663.58 tokens per second
0.21.190.861 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6528, progress = 0.80, t =   9.84 s / 663.58 tokens per second
0.21.190.883 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6656, progress = 0.81, t =   9.86 s / 675.33 tokens per second
0.21.404.661 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6656, progress = 0.81, t =  10.05 s / 662.19 tokens per second
0.21.404.688 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6656, progress = 0.81, t =  10.05 s / 662.20 tokens per second
0.21.404.706 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6784, progress = 0.83, t =  10.07 s / 673.70 tokens per second
0.21.623.719 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6784, progress = 0.83, t =  10.27 s / 660.53 tokens per second
0.21.623.745 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6784, progress = 0.83, t =  10.27 s / 660.53 tokens per second
0.21.623.764 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6912, progress = 0.84, t =  10.29 s / 671.80 tokens per second
0.21.841.670 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6912, progress = 0.84, t =  10.49 s / 659.01 tokens per second
0.21.841.715 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   6912, progress = 0.84, t =  10.49 s / 659.01 tokens per second
0.21.841.750 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7040, progress = 0.86, t =  10.51 s / 670.05 tokens per second
0.22.059.470 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7040, progress = 0.86, t =  10.71 s / 657.56 tokens per second
0.22.059.516 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7040, progress = 0.86, t =  10.71 s / 657.56 tokens per second
0.22.059.549 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7168, progress = 0.88, t =  10.72 s / 668.37 tokens per second
0.22.277.785 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7168, progress = 0.88, t =  10.92 s / 656.14 tokens per second
0.22.277.829 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7168, progress = 0.88, t =  10.92 s / 656.14 tokens per second
0.22.277.858 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7296, progress = 0.89, t =  10.94 s / 666.74 tokens per second
0.22.496.130 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7296, progress = 0.89, t =  11.14 s / 654.77 tokens per second
0.22.496.166 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7296, progress = 0.89, t =  11.14 s / 654.77 tokens per second
0.22.496.200 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7424, progress = 0.91, t =  11.16 s / 665.16 tokens per second
0.22.718.332 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7424, progress = 0.91, t =  11.37 s / 653.23 tokens per second
0.22.718.377 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7424, progress = 0.91, t =  11.37 s / 653.23 tokens per second
0.22.718.412 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7552, progress = 0.92, t =  11.38 s / 663.42 tokens per second
0.22.939.304 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7552, progress = 0.92, t =  11.59 s / 651.82 tokens per second
0.22.939.354 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7552, progress = 0.92, t =  11.59 s / 651.82 tokens per second
0.22.939.392 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7680, progress = 0.94, t =  11.60 s / 661.82 tokens per second
0.23.161.137 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7680, progress = 0.94, t =  11.81 s / 650.41 tokens per second
0.23.161.190 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7680, progress = 0.94, t =  11.81 s / 650.41 tokens per second
0.23.161.228 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7808, progress = 0.95, t =  11.83 s / 660.23 tokens per second
0.23.384.370 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7808, progress = 0.95, t =  12.03 s / 648.98 tokens per second
0.23.384.415 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7808, progress = 0.95, t =  12.03 s / 648.98 tokens per second
0.23.384.452 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7936, progress = 0.97, t =  12.05 s / 658.62 tokens per second
0.23.626.594 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7936, progress = 0.97, t =  12.27 s / 646.60 tokens per second
0.23.626.652 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   7936, progress = 0.97, t =  12.27 s / 646.60 tokens per second
0.23.626.685 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   8060, progress = 0.98, t =  12.29 s / 655.73 tokens per second
0.23.884.072 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   8060, progress = 0.98, t =  12.53 s / 643.21 tokens per second
0.23.892.947 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   8060, progress = 0.98, t =  12.53 s / 643.21 tokens per second
0.23.895.820 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   8188, progress = 1.00, t =  12.55 s / 652.48 tokens per second
0.24.077.707 I slot print_timing: id  2 | task 1 | prompt eval time =   12742.74 ms /  8192 tokens (    1.56 ms per token,   642.88 tokens per second)
0.24.077.714 I slot print_timing: id  2 | task 1 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.24.077.716 I slot print_timing: id  2 | task 1 |       total time =   12742.74 ms /  8193 tokens
0.24.077.721 I slot print_timing: id  2 | task 1 |    graphs reused =        124
0.24.078.865 I slot      release: id  2 | task 1 | stop processing: n_tokens = 8192, truncated = 0
0.24.078.896 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   8188, progress = 1.00, t =  12.72 s / 643.52 tokens per second
0.24.085.281 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   8188, progress = 1.00, t =  12.72 s / 643.52 tokens per second
0.24.129.940 I slot print_timing: id  0 | task 3 | prompt eval time =   12776.71 ms /  8192 tokens (    1.56 ms per token,   641.17 tokens per second)
0.24.129.947 I slot print_timing: id  0 | task 3 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.24.129.949 I slot print_timing: id  0 | task 3 |       total time =   12776.71 ms /  8193 tokens
0.24.129.951 I slot print_timing: id  0 | task 3 |    graphs reused =        124
0.24.130.991 I slot      release: id  0 | task 3 | stop processing: n_tokens = 8192, truncated = 0
0.24.131.723 I slot print_timing: id  1 | task 4 | prompt eval time =   12778.47 ms /  8192 tokens (    1.56 ms per token,   641.08 tokens per second)
0.24.131.733 I slot print_timing: id  1 | task 4 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.24.131.735 I slot print_timing: id  1 | task 4 |       total time =   12778.48 ms /  8193 tokens
0.24.131.737 I slot print_timing: id  1 | task 4 |    graphs reused =        124
0.24.132.944 I slot      release: id  1 | task 4 | stop processing: n_tokens = 8192, truncated = 0
0.24.142.094 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.24.142.191 I slot launch_slot_: id  0 | task 70 | processing task, is_child = 0
0.24.307.049 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.24.307.099 I slot launch_slot_: id  1 | task 71 | processing task, is_child = 0
0.24.307.500 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.24.307.531 I slot launch_slot_: id  2 | task 72 | processing task, is_child = 0
0.27.367.647 I slot print_timing: id  0 | task 70 | n_gen =    248, tg =  82.31 t/s, tg_3s =  82.65 t/s
0.27.367.933 I slot print_timing: id  1 | task 71 | n_gen =    248, tg =  82.31 t/s, tg_3s =  82.65 t/s
0.27.368.225 I slot print_timing: id  2 | task 72 | n_gen =    248, tg =  82.32 t/s, tg_3s =  82.65 t/s
0.30.377.058 I slot print_timing: id  0 | task 70 | n_gen =    494, tg =  82.03 t/s, tg_3s =  81.74 t/s
0.30.377.354 I slot print_timing: id  1 | task 71 | n_gen =    494, tg =  82.03 t/s, tg_3s =  81.74 t/s
0.30.377.641 I slot print_timing: id  2 | task 72 | n_gen =    494, tg =  82.03 t/s, tg_3s =  81.74 t/s
0.33.384.930 I slot print_timing: id  0 | task 70 | n_gen =    737, tg =  81.61 t/s, tg_3s =  80.79 t/s
0.33.385.210 I slot print_timing: id  1 | task 71 | n_gen =    737, tg =  81.61 t/s, tg_3s =  80.79 t/s
0.33.385.480 I slot print_timing: id  2 | task 72 | n_gen =    737, tg =  81.62 t/s, tg_3s =  80.79 t/s
0.33.765.177 I slot print_timing: id  0 | task 70 | prompt eval time =      59.39 ms /     4 tokens (   14.85 ms per token,    67.35 tokens per second)
0.33.765.183 I slot print_timing: id  0 | task 70 |        eval time =    9398.22 ms /   768 tokens (   12.25 ms per token,    81.61 tokens per second)
0.33.765.184 I slot print_timing: id  0 | task 70 |       total time =    9457.60 ms /   772 tokens
0.33.765.186 I slot print_timing: id  0 | task 70 |    graphs reused =        888
0.33.765.809 I slot      release: id  0 | task 70 | stop processing: n_tokens = 8959, truncated = 0
0.33.766.161 I slot print_timing: id  1 | task 71 | prompt eval time =      56.10 ms /     4 tokens (   14.03 ms per token,    71.30 tokens per second)
0.33.766.169 I slot print_timing: id  1 | task 71 |        eval time =    9398.89 ms /   768 tokens (   12.25 ms per token,    81.61 tokens per second)
0.33.766.171 I slot print_timing: id  1 | task 71 |       total time =    9455.00 ms /   772 tokens
0.33.766.171 I slot print_timing: id  1 | task 71 |    graphs reused =        888
0.33.766.814 I slot      release: id  1 | task 71 | stop processing: n_tokens = 8959, truncated = 0
